user_id,first_name,last_name,email,signup_date,country,city,birth_date,is_active,loyalty_points
11c5ddc5-d2e6-4426-b215-d4e21ae6b9c7,Cody,Blevins,larryjoseph@example.com,"Tue, 29 Nov 2022 02:20:50 ",South Africa,Johannesburg,11-05-2003,False,67
cd5547b9-ed01-4238-84fb-cbc0aeaf48be,Kevin,Lynch,austinkeith@example.net,"Tue, 07 Jun 2022 11:41:47 ",Spain,Barcelona,1964-07-12,False,22
7b5c5ce6-94bd-4286-bf0f-00c9ecbc4efb,Jason,Griffin,kevin15@example.org,"Wed, 12 Jul 2017 08:58:46 ",Italy,Florence,24-02-1953,False,7
b52588f5-496b-49db-94ed-a22bc6396d34,James,Campbell,kendramontoya@example.net,"Wed, 07 Aug 2024 14:03:28 ",Germany,Frankfurt,15-01-1952,False,11
be7da022-07aa-4e1b-97cb-034b7eddbf35,Andrea,Rosario,coreydavila@example.org,2019-07-19 11:22:18,France,Nice,1962-01-24,False,77
214b9873-e5ff-4d06-81f9-d6d640319c78,Derek,Carr,,"Tue, 05 Oct 2021 00:17:15 ",Germany,Hamburg,03-14-1958,False,72
aa79b371-cd61-4e4e-afd3-36b0837c44d6,Yvonne,Kim,charris@example.com,2019-03-14 16:39:01,Canada,Toronto,1950-03-21,True,98
19b0379a-7533-4bfc-82a0-62ecfab38c93,Meredith,Gonzales,plindsey#example.com,"Fri, 09 Aug 2019 09:50:25 ",Germany,Munich,1948-05-24,False,62
9f48400c-fba7-4363-9a32-a96dbff2a528,Madison,Vasquez,ronaldcarey@example.com,2018-08-31 06:15:00,USA,New York,1987-04-10,False,91
e549bc93-d852-4d63-a7c5-3bc8048f9f50,Megan,Bradford,mullenstephanie@example.org,2023-12-13 00:43:04,Brazil,Sao Paulo,1946-08-04,False,27
8e8ac2d6-289e-4d5c-a2e0-6e5a46920937,Kathryn,Powell,trevor72@example.com,2022-09-04T04:24:37,Japan,Kyoto,02-28-1998,False,26
bb165c92-10c1-4605-8be7-2fd919899595,Robert,Vaughn,zunderwood@example.net,2023-05-03 03:54:14,Poland,Wroclaw,13-08-1977,False,72
5262e37e-0b6a-4a9b-8f76-c534dba84a02,Patrick,CURTIS,cochranaaron@example.org,2023-12-01 21:45:24,Canada,M@ontr&ea&l,11-23-1979,False,54
f3de800c-1492-4564-b567-c10971805d57,Jason,Rodriguez,emmathompson@example.org,2025-06-14 16:21:16,France,Paris,30-10-1969,False,6
15cf586b-9dc9-4a0e-a75b-01e5b0d2c57a,Jenna,Tran,hernandezjennifer@example.com,"Fri, 26 Aug 2016 19:56:31 ",Romania,Timisoara,07-31-1971,False,88
dada1afc-0ea8-4838-934a-c20885800f0a,Stephanie,Johnson,melissapatrick@example.net,2016-03-19 02:26:19,Japan,Tokyo,05-16-1977,False,40
48c7f3cd-5b94-4859-9235-a8f5c1c1f4bd,Michael,Wilkerson,zscott@example.com,2023-07-26T00:39:06,South Africa,Cape Town,1982-09-22,False,8
f77ead05-5c61-44b7-bbbe-2c50a0a4ed5d,John,Smith,wthompson@example.org,"Mon, 18 Sep 2023 19:17:11 ",Brazil,SALVADOR,30-09-1965,True,97
cdb24694-060e-476e-baf4-2f2704922215,DAVID,Mills,krivera@example.org,"Fri, 21 Sep 2018 02:48:15 ",France,Nice,14-10-1948,False,82
d18dd490-7dc0-40b1-9b00-e8adb0787741,Tina,Sanchez,charles90@example.org,2020-09-18T01:26:08,Sweden,Stockholm,1989-12-09,True,61
bb5551fc-435a-4f1e-ae38-6527707200db,Elijah,Edwards,tespinoza@example.com,"Sun, 21 Feb 2021 05:47:30 ",Spain,Madrid,12-06-1994,True,22
cc5b282f-a495-403c-ab85-6ce54466d136,Sherry,A~ndrews,christophergonzalez@example.com,"Fri, 11 Dec 2015 02:16:19 ",Japan,Nagoya,27-03-1948,True,43
3a7ec4dc-5257-455e-89ef-6eee866bf404,Bryan,Webster,kathryn56@example.net,2019-11-06T12:44:35,Japan,Nagoya,04-01-1980,True,65
692c2178-3738-4a72-9388-6b0a7d5fa5c6,Christopher,Wilson,taylordavidson@example.org,"Sat, 02 Apr 2016 05:26:20 ",Japan,Sapporo,2002-10-21,False,10
5269ab59-6573-4963-9a5d-f3963cb51a03,Kimberly,Spencer,nicholaswilliams@example.org,"Wed, 27 Mar 2024 05:35:25 ",Italy,Florence,1951-10-10,False,19
783cdf13-8b2d-46ce-a2a3-eed84a616918,Christine,Bishop,kristyhickman@example.com,2023-01-05 17:03:59,UK,Leeds,1976-05-28,True,90
